Paper,Journal,Design,Assign,Pre-test/post-test,N at start,Attrition,N definitive,Nr. ES,Nr. ES (child)
Arnett (1989)—I,Yes,B,NR,No,12+14,0+0%,12+14,5,–
Arnett (1989)—II,Yes,B,NR,No,16+14,0%+0%,16+14,5,–
Bloom and Sheerer (1992),Yes,B,NR,Yes,22+22,0%+0%,22+22,4,–
Campbell and Milbourne (2005),Yes,W,–,Yes,37,41%,22,4,–
Caruso et al. (1998),No,B,NR,Yes,231+130,62%+68%,91+41,2,–
Cassidy et al. (1995),Yes,B,MA,Yes,21+20,10%+25%,19+15,4,–
Cassidy et al. (1998)—I,Yes,W,–,Yes,35,31%,24,3,–
Cassidy et al. (1998)—II,Yes,W,–,Yes,24,0%,24,9,–
Fantuzzo et al. (1996),Yes,B,RA,No,24+24,17%+17%,20+20,6,–
Fantuzzo et al. (1997),Yes,B,RA,No,70+70,31%+29%,48+50,5,–
Girolametto et al. (2003),Yes,B,RA,Yes,8+8,0%+0%,8+8,10,8
Girolametto et al. (2004),Yes,B,RA,Yes,8+9,0%+0%,8+9,1,4
Horm-Wingerd et al. (1997),Yes,B,NR,Yes,295+153,64%+67%,105+51,2,–
Johnson (1994),No,W,–,Yes,188,50%,94,2,–
Kaplan and Conn (1984),Yes,W,–,Yes,26,35%,17,7,–
Kontos et al. (1996),Yes,B,NR,Yes,130+112,27%+0%,95+112,5,1
Rhodes and Hennessy (2000),Yes,B,MA,Yes,16+17,0%+29%,16+12,4,2
